Property Name,Address,Phone,Phone 2,Phone 3,HotelRating,state,cityName,timezone
Americas Best Value Inn & Suites Royal Carriage,18239 Main Street JamestownCalifornia 95327 ,209-984-5271,,,TwoStar,maryland,"California,   Maryland",Eastern
The Westin New York at Times Square,270 W 43rd Street New YorkNew York 10036 ,212-201-2700,,,FourStar,new york,"New York,   New York",Eastern
6 Columbus a SIXTY Hotel,308 W 58Th Street New York CityNew York 10019 ,212-204-3000,,,FourStar,new york,"New York,   New York",Eastern
The Knickerbocker,6 Times Square 1466 Broadway10036 New York ,212-204-4980,,,FiveStar,new york,"New York,   New York",Eastern
The Paul Hotel NYC,32 West 29th Street NY ,212-204-5750,,,ThreeStar,new york,"New York,   New York",Eastern
Incentra Village Hotel,32 8Th Avenue New YorkNew York 10014 ,212-206-0007,,,ThreeStar,new york,"New York,   New York",Eastern
Fairfield Inn & Suites New York Manhattan chelsea,116 West 28th Street 10001 New YorkNew York ,212-206-0998,,,TwoStar,new york,"New York,   New York",Eastern
Renaissance New York Chelsea Hotel,112 West 25th Street New York ,212-206-1522,,,FourStar,new york,"New York,   New York",Eastern
Gansevoort Meatpacking,18 9Th Avenue at 13th StreetNew YorkNew York 10014 ,212-206-6700,,,FiveStar,new york,"New York,   New York",Eastern
Hotel 373 Fifth Avenue,373 Fifth Avenue New YorkNew York 10016 ,212-213-3388,,,ThreeStar,new york,"New York,   New York",Eastern
Made Hotel,44 West 29th Street New YorkNew York 10001 ,212-213-4429,,,FourStar,new york,"New York,   New York",Eastern
Hotel Americano,518 W 27Th St New York ,212-216-0000,,,FourStar,new york,"New York,   New York",Eastern
Fairfield Inn & Suites by Marriott New York Manhattan Times Square 36t,338 West 36th Street New YorkNew York 10018 ,212-216-9110,,,FourStar,new york,"New York,   New York",Eastern
SpringHill Suites by Marriott New York Manhattan/Times Square South,"338 West 36th Street, Hells Kitchen, New York, NY 10018, United States ",212-216-9244,,,FourStar,new york,"New York,   New York",Eastern
Hampton Inn Manhattan Times Square Central,220 West 41St St New YorkNew York 10036-7203 ,212-221-1188,,,ThreeStar,new york,"New York,   New York",Eastern
Hotel 46 Times Square,129 West 46Th St Manhattan ,212-221-2600,,,ThreeStar,new york,"New York,   New York",Eastern
Margaritaville Resort Times Square,560 7th Ave ,212-221-3007,,,FourStar,new york,"New York,   New York",Eastern
Hotel St. James,109 West 45th Street New YorkNY 10036 ,212-221-3600,,,TwoStar,new york,"New York,   New York",Eastern
Marrakech Hotel,2688 Broadway New YorkNew York City 10025 ,212-222-2954,,,ThreeStar,new york,"New York,   New York",Eastern
US Pacific Hotel,106 Bowery 2FL ChinatownNew YorkNew York 10013 ,212-226-0300,,,OneStar,new york,"New York,   New York",Eastern
Sohotel,341 Broome Street New YorkNew York 10013 ,212-226-1482,,,FourStar,new york,"New York,   New York",Eastern
Windsor Hotel,108 Forsyth St New YorkNew York 10002 ,212-226-3009,,,TwoStar,new york,"New York,   New York",Eastern
New World Hotel,101 Bowery New York CityNew York 10002 ,212-226-5522,,,OneStar,new york,"New York,   New York",Eastern
SoHo 54,54 Watts Street ManhattanNew YorkNew York 10013 ,212-226-6288,,,ThreeStar,new york,"New York,   New York",Eastern
Crosby Street Hotel,79 Crosby Street New YorkNew York 10012 ,212-226-6400,,,FiveStar,new york,"New York,   New York",Eastern
Bowery Grand Hotel,143 Bowery 143 10002 New York New York CityNY 10002 ,212-226-6655,,,OneStar,new york,"New York,   New York",Eastern
Fairfield Inn & Suites New York Manhattan downtown East,95 Henry Street New YorkNY 10002 ,212-227-0709,,,TwoStar,new york,"New York,   New York",Eastern
Holiday Inn New York City Wall Street,51 Nassau St. 10038 New York CityNew York ,212-227-3007,,,ThreeStar,new york,"New York,   New York",Eastern
Dream Downtown,355 W 16Th St New YorkNew York 10011 ,212-229-2559,,,FourStar,new york,"New York,   New York",Eastern
Grayson Hotel,30 West 39th Street ,212-229-4729,,,FourStar,new york,"New York,   New York",Eastern
Four Points by Sheraton Manhattan SoHo Village,66 Charlton Street New YorkNew York 10014 ,212-229-9988,,,ThreeStar,new york,"New York,   New York",Eastern
Gild Hall A Thompson Hotel,15 Gold Street New York CityNew York 10038 ,212-232-7700,,,FourStar,new york,"New York,   New York",Eastern
The Beekman A Thompson Hotel,123 Nassau Street New YorkNew York 10038 ,212-233-2300,,,FiveStar,new york,"New York,   New York",Eastern
Sugar Hill Harlem Inn,460 West 141St Street New York 10031 New YorkNew York 10031 ,212-234-5432,,,ThreeStar,new york,"New York,   New York",Eastern
Sanctuary Hotel New York,132 West 47th Street New York CityNew York 10036 ,212-234-7000,,,FourStar,new york,"New York,   New York",Eastern
11 Howard,11 Howard Street ManhattanNew York CityNew York 10013 ,212-235-1111,,,FiveStar,new york,"New York,   New York",Eastern
Hotel Indigo Lower East Side,171 Ludlow Street New YorkNew York 10002 ,212-237-1776,,,FourStar,new york,"New York,   New York",Eastern
EVEN Hotel New York Midtown East,221 East 44th Street New York City - ManhattanNew York 10017 ,212-239-0002,,,FourStar,new york,"New York,   New York",Eastern
Renaissance New York Midtown Hotel,218 West 35th Street South Garment DistrictNew YorkNew York 10001 ,212-239-0014,,,FourStar,new york,"New York,   New York",Eastern
Holiday Inn Express New York City Times Square,343 W 39Th Street New York CityNew York 10018 ,212-239-1222,,,ThreeStar,new york,"New York,   New York",Eastern
Courtyard New York Manhattan Herald Square,71 West 35 Street 71 W 35th Street New YorkNwe York 10001 ,212-239-4569,,,ThreeStar,new york,"New York,   New York",Eastern
Hyatt Place New York Midtown South,52 West 36th Street New York 10018 ,212-239-9100,,,ThreeStar,new york,"New York,   New York",Eastern
The Maritime Hotel,363 West 16th Street New YorkNY 10011 ,212-242-4300,,,FourStar,new york,"New York,   New York",Eastern
Hotel Henri A Wyndham Hotel,37 West 24th Street New York CityNew York 10010 ,212-243-0800,,,ThreeStar,new york,"New York,   New York",Eastern
Colonial House Inn,318 West 22nd Street New YorkNY 10011 ,212-243-9669,,,ThreeStar,new york,"New York,   New York",Eastern
Homewood Suites New York Midtown Manhattan Times Square,312 West 37th Street New York CityNew York 10018 ,212-244-0644,,,ThreeStar,new york,"New York,   New York",Eastern
Cambria Hotel & Suites New York Chelsea,123 West 28th Street New York CityNew York 10001 ,212-244-4477,,,ThreeStar,new york,"New York,   New York",Eastern
Manhattan West Hotel,303 West 30th Street New York 10001 ,212-244-7300,,,ThreeStar,new york,"New York,   New York",Eastern
Riff Hotel Chelsea,300 W 30Th Street New YorkNew York 10001 ,212-244-7827,,,TwoStar,new york,"New York,   New York",Eastern
Blakely New York Hotel,136 W. 55Th Street New YorkNew York 10019 ,212-245-1800,,,TwoStar,new york,"New York,   New York",Eastern
The Pearl New York,233 West 49Th Street New York 10019 ,212-245-4000,,,FourStar,new york,"New York,   New York",Eastern
Park Savoy,158 West 58th Street New YorkNY 10019 ,212-245-5755,,,TwoStar,new york,"New York,   New York",Eastern
Churchill at Symphony House,"West 56th Street 235, 235 NEW YORK ",212-245-6660,,,ThreeStar,new york,"New York,   New York",Eastern
The Belvedere Hotel,319 W 48Th St New YorkNew York 10036 ,212-245-7000,,,ThreeStar,new york,"New York,   New York",Eastern
The Quin,101 West 57th Street at Sixth Avenue New York CityNew York 10019 ,212-245-7846,,,FiveStar,new york,"New York,   New York",Eastern
Salisbury Hotel,123 W 57th St New York 10019 ,212-246-1300,,,ThreeStar,new york,"New York,   New York",Eastern
Econo Lodge Times Square,302 W 47Th St New York New YorkNew York 10036 ,212-246-1991,,,TwoStar,new york,"New York,   New York",Eastern
Washington Jefferson Hotel,318 West 51st Street New York CityNew York 10019 ,212-246-7550,,,ThreeStar,new york,"New York,   New York",Eastern
The Gallivant Times Square,234 West 48th Street New York 10036 ,212-246-8800,,,ThreeStar,new york,"New York,   New York",Eastern
JW Marriott Essex House New York,160 Central Park South New YorkNew York 10019 ,212-247-0300,,,FourStar,new york,"New York,   New York",Eastern
Dream Midtown,210 West 55th Street New YorkNew York 10019 ,212-247-2000,,,FourStar,new york,"New York,   New York",Eastern
Warwick New York,65 W 54Th St New YorkNew York 10019 ,212-247-2700,,,FourStar,new york,"New York,   New York",Eastern
Wellington Hotel,871 Seventh Avenue at 55th Street New YorkNew York 10019 ,212-247-3900,,,ThreeStar,new york,"New York,   New York",Eastern
Ameritania at Times Square,230 W 54Th Street New YorkNew York 10019 ,212-247-5000,,,ThreeStar,new york,"New York,   New York",Eastern
Shoreham Hotel,33 West 55th Street New York City 10019New York ,212-247-6700,,,FourStar,new york,"New York,   New York",Eastern
Park Central Hotel New York,870 7th Avenue New YorkNew York 10019-4038 ,212-247-8000,,,FourStar,new york,"New York,   New York",Eastern
Hilton Garden Inn NYC Financial Center Manhattan Downtown,6 Water Street New York CityNew York 10004 ,212-248-1100,,,FourStar,new york,"New York,   New York",Eastern
AKA Wall Street,84 William Street New YorkNew York 10038 ,212-252-9090,,,FourStar,new york,"New York,   New York",Eastern
Hyatt Union Square New York,134 Fourth Avenue New YorkNew York 10003 ,212-253-1234,,,FourStar,new york,"New York,   New York",Eastern
Hilton Garden Inn New York Central Park South Midtown West,237 West 54th Street New York CityNew York 10019 ,212-253-6000,,,ThreeStar,new york,"New York,   New York",Eastern
W New York Union Square,"201 Park Avenue South New York, Ny  10003 New YorkNew York 10003 ",212-253-9119,,,FourStar,new york,"New York,   New York",Eastern
The Moore,"300 W 22nd St New York, NY ",212-255-5400,,,ThreeStar,new york,"New York,   New York",Eastern
Moxy NYC Downtown,26 Ann Street New YorkNew York 10038 ,212-257-8886,,,FourStar,new york,"New York,   New York",Eastern
Redford Hotel,136 Ludlow Street New York CityNew York 10002 ,212-260-4141,,,ThreeStar,new york,"New York,   New York",Eastern
DoubleTree by Hilton New York Midtown Fifth Avenue,25 West 51st Street (Just off 5th Avenue)New YorkNew York 10019 ,212-262-3200,,,FourStar,new york,"New York,   New York",Eastern
Towneplace Suites By Marriott New York Manhattan times Square,324 W 44Th Street New YorkNew York 10036 ,212-265-4000,,,ThreeStar,new york,"New York,   New York",Eastern
Empire Hotel,44 West 63rd Street New York CityNew York 10023 ,212-265-7400,,,FourStar,new york,"New York,   New York",Eastern
Hotel 91,91 East Broadway New YorkNY 10002 ,212-266-6800,,,ThreeStar,new york,"New York,   New York",Eastern
Hotel Wolcott,4 West 31st Street Between 5th Avenue and BroadwayNew York CityNew York 10001 ,212-268-2900,,,ThreeStar,new york,"New York,   New York",Eastern
Artel Hotel Times Square,305 West 39Th Street 305 New YorkNew York 10018 ,212-268-3040,,,ThreeStar,new york,"New York,   New York",Eastern
Radisson Hotel New York Wall Street,52 William Street Off Wall StreetNew YorkNew York 10005 ,212-269-6400,,,FourStar,new york,"New York,   New York",Eastern
Four Points by Sheraton Downtown,6 Platt Street New YorkNew York 10038 ,212-273-9388,,,ThreeStar,new york,"New York,   New York",Eastern
The Mansfield Hotel,12 West 44th Street New YorkNew York 10036 ,212-277-8700,,,ThreeStar,new york,"New York,   New York",Eastern
The Surrey,20 East 76th Street New York CityNew York 10021 ,212-288-3700,,,FiveStar,new york,"New York,   New York",Eastern
Moxy NYC East Village,112 E 11th St ,212-288-6699,,,FourStar,new york,"New York,   New York",Eastern
Hotel Boutique at Grand Central,128 East 45th Street NY ,212-297-0300,,,FourStar,new york,"New York,   New York",Eastern
Trump International Hotel and Tower New York,1 Central Park West New YorkNew York 10023 ,212-299-1000,,,FiveStar,new york,"New York,   New York",Eastern
Avalon Hotel,16 East 32nd Street New York CityNew York 10016 ,212-299-7000,,,FourStar,new york,"New York,   New York",Eastern
Cassa Hotel 45th Street New York,70 West 45th Street New YorkNew York 10036 ,212-302-8700,,,FourStar,new york,"New York,   New York",Eastern
Citadines Connect Fifth Avenue New York,15 West 45th Street New YorkNew York 10036 ,212-302-9088,,,ThreeStar,new york,"New York,   New York",Eastern
Conrad New York Midtown,151 W 54th St New YorkNew York 10019 ,212-307-5000,,,FiveStar,new york,"New York,   New York",Eastern
The Ritz Carlton New York Central Park,50 Central Park South New YorkNew York 10019 ,212-308-9100,,,FiveStar,new york,"New York,   New York",Eastern
M Social Hotel Times Square New York,226 W 52Nd St NY ,212-315-0100,,,FourStar,new york,"New York,   New York",Eastern
Morningside Inn,235 West 107Th Street 235 New YorkNY 10025 ,212-316-0055,,,TwoStar,new york,"New York,   New York",Eastern
Royalton Park Avenue,420 Park Avenue South 29th Street New York CityNew York 10016 ,212-317-2900,,,FiveStar,new york,"New York,   New York",Eastern
Z New York Hotel,11-01 43rd Avenue Long Island CityNew York 11101 ,212-319-7000,,,FourStar,new york,"Long Island City,   New York",Eastern
The Time New York,"224 West 49th Street New York, New York 10019 ",212-320-2900,,,FourStar,new york,"New York,   New York",Eastern
The Marlton Hotel,5 West 8th Street Between 5th & 6th AvenuesNew YorkNew York 10011 ,212-321-0100,,,FourStar,new york,"New York,   New York",Eastern
Courtyard by Marriott New York Manhattan Central Park,1717 Broadway New YorkNew York 10019 ,212-324-3773,,,ThreeStar,new york,"New York,   New York",Eastern
Hyatt Herald Square New York,30 W 31St St 10001 New York City ,212-330-1234,,,FourStar,new york,"New York,   New York",Eastern
The Marc,260 W 54th Street New YorkNew York 10019 ,212-333-3343,,,FourStar,new york,"New York,   New York",Eastern
Dylan Hotel,52 East 41st Street New YorkNew York 10017 ,212-338-0500,,,FourStar,new york,"New York,   New York",Eastern
Arlo SoHo,231 Hudson Street New YorkNew York 10003 ,212-342-7000,,,FourStar,new york,"New York,   New York",Eastern
Hotel Mimosa,79 Division St. New York City - Manhattan 10002 ,212-343-4243,,,TwoStar,new york,"New York,   New York",Eastern
Arlo Midtown,"351 West 38th Street, Hells Kitchen New York, 10018, United States ",212-343-7000,,,FourStar,new york,"New York,   New York",Eastern
The Wagner Hotel,2 West Street New YorkNew York 10004 ,212-344-0800,,,FiveStar,new york,"New York,   New York",Eastern
Courtyard New York Downtown Manhattan world Trade Center Area,133 Greenwich Street New YorkNew York 10006 ,212-346-0088,,,ThreeStar,new york,"New York,   New York",Eastern
Fitzpatrick Grand Central,141 East 44Th Street 10017 New York New YorkNew York 10017 ,212-351-6800,,,FourStar,new york,"New York,   New York",Eastern
Room Mate Grace,125 W 45Th Street 125 10036 New York City New York CityNew York 10036 ,212-354-2323,,,ThreeStar,new york,"New York,   New York",Eastern
Sofitel New York,45 West 44th Street New York CityNew York 10036 ,212-354-8844,,,FourStar,new york,"New York,   New York",Eastern
Fitzpatrick Manhattan,687 Lexington Avenue Between 56th & 57th StreetNew YorkNew York 10022 ,212-355-0100,,,FourStar,new york,"New York,   New York",Eastern
Pod 51,230 E 51St St New York CityNew York 10022 ,212-355-0300,,,ThreeStar,new york,"New York,   New York",Eastern
The Gardens ES Suites New York,215 East 64th Street between 2nd and 3rd AvenueNew YorkNew York 10065 ,212-355-1230,,,ThreeStar,new york,"New York,   New York",Eastern
Concorde Hotel New York,"127 E 55th St, New York NY 10022, United States ",212-355-2755,,,FourStar,new york,"New York,   New York",Eastern
The Sherry Netherland,781 5th Avenue New YorkNY 10022 ,212-355-2800,,,FourStar,new york,"New York,   New York",Eastern
Waldorf Astoria New York Hotel,301 Park Avenue New York CityNew York 10022-6897 ,212-355-3000,,,FourStar,new york,"New York,   New York",Eastern
EVEN Hotel Times Square South,321 West 35th Street New YorkNew York 10001 ,212-356-0034,,,FourStar,new york,"New York,   New York",Eastern
The Gatsby Hotel,135 East Houston Street New YorkNew York 10002 ,212-358-8844,,,ThreeStar,new york,"New York,   New York",Eastern
Hotel Scherman,346 West 46th Street New YorkNew York 10036 ,212-359-6652,,,FourStar,new york,"New York,   New York",Eastern
Arthouse Hotel New York City,2178 Broadway At W 77Th St 77th StreetNew York CityNew York 10024 ,212-362-1100,,,FourStar,new york,"New York,   New York",Eastern
Hotel Belleclaire,"2175 Broadway , Upper West Side New York, NY 10024, U.S.A. ",212-362-7700,,,FourStar,new york,"New York,   New York",Eastern
Excelsior Hotel,45 West 81st Street New YorkNew York 10024 ,212-362-9200,,,ThreeStar,new york,"New York,   New York",Eastern
Leo House,332 West 23rd Street New YorkNew York 10011 ,212-366-0100,,,ThreeStar,new york,"New York,   New York",Eastern
Furnished Quarters at Grove Pointe,100 Christopher Columbus Drive Jersey CityNew Jersey 07302 ,212-367-9400,,,ThreeStar,new jersey,"Jersey City,   New Jersey",Eastern
The Franklin Hotel,164 East 87th Street New YorkNew York 10128 ,212-369-1000,,,ThreeStar,new york,"New York,   New York",Eastern
Park Lane Hotel,36 Central Park S New YorkNew York 10019 ,212-371-4000,,,FourStar,new york,"New York,   New York",Eastern
citizenM New York Bowery,189 Bowery New York CityNew York 10002 ,212-372-7274,,,FourStar,new york,"New York,   New York",Eastern
Walker Hotel Greenwich Village,52 West 13th Street New York CityNY 10011 ,212-375-1300,,,FourStar,new york,"New York,   New York",Eastern
West 57th Street by Hilton Club,102 West 57th Street New YorkNew York 10019 ,212-379-0103,,,FourStar,new york,"New York,   New York",Eastern
Hotel Mulberry,52 Mulberry St. New York CityNew York 10013 ,212-385-4633,,,ThreeStar,new york,"New York,   New York",Eastern
New York Marriott Downtown,85 West Street at Albany Street New YorkNew York 10006 ,212-385-4900,,,FourStar,new york,"New York,   New York",Eastern
Madison Les Hotel,154 Madison Street New York CityNew York 10002 ,212-390-1533,,,ThreeStar,new york,"New York,   New York",Eastern
Leon Hotel,125 Canal Street New YorkNew York 10002 ,212-390-8833,,,ThreeStar,new york,"New York,   New York",Eastern
NobleDEN Hotel,196 Grand Street New York CityNY 10013 ,212-390-8988,,,FourStar,new york,"New York,   New York",Eastern
Courtyard by Marriott New York Manhattan Times Square,114 W 40Th St New YorkNew York 10018 ,212-391-0088,,,ThreeStar,new york,"New York,   New York",Eastern
Springhill Suites New York Midtown Manhattan fifth Avenue,25 West 37Th St New YorkNY 10018 ,212-391-2255,,,ThreeStar,new york,"New York,   New York",Eastern
Carnegie Hotel,160 West 56th Street New YorkNew York 10019 ,212-397-6000,,,FourStar,new york,"New York,   New York",Eastern
The Moderne,243 West 55th Street New York CityNew York 10019 ,212-397-6767,,,ThreeStar,new york,"New York,   New York",Eastern
New York Marriott Marquis,1535 Broadway New YorkNew York 10036 ,212-398-1900,,,FourStar,new york,"New York,   New York",Eastern
AC Hotel New York Times Square,260 West 40th Street New YorkNew York 10018 ,212-398-2700,,,ThreeStar,new york,"New York,   New York",Eastern
The Times Square EDITION,20 Times Square 701 7Th Avenue At West 47Th Street New YorkNew York 10036 ,212-398-7017,,,FiveStar,new york,"New York,   New York",Eastern
414 Hotel,414 W 46Th St New YorkNew York 10036 ,212-399-0006,,,ThreeStar,new york,"New York,   New York",Eastern
Midtown Convention Center Hotel,522 West 38th Street New YorkNew York 10018 ,212-405-1700,,,ThreeStar,new york,"New York,   New York",Eastern
Courtyard New York Manhattan Upper East Side,410 East 92nd Street New YorkNew York 10128 ,212-410-6777,,,ThreeStar,new york,"New York,   New York",Eastern
The New York Edition,5 Madison Avenue New York CityNew York 10010 ,212-413-4200,,,FiveStar,new york,"New York,   New York",Eastern
Hampton Inn Manhattan Chelsea,108 West 24th Street New York CityNew York 10011 ,212-414-1000,,,TwoStar,new york,"New York,   New York",Eastern
The Townhouse Inn of Chelsea,131 West 23rd Street New York City - ManhattanNew York 10011 ,212-414-2323,,,ThreeStar,new york,"New York,   New York",Eastern
Courtyard New York Manhattan SoHo,181 Varick Street New YorkNew York 10014 ,212-414-8282,,,ThreeStar,new york,"New York,   New York",Eastern
The Marmara Manhattan,301 East 94Th Street New YorkNew York 10128 ,212-427-3100,,,ThreeStar,new york,"New York,   New York",Eastern
Holiday Inn Manhattan 6th Ave Chelsea,125 West 26th Street New York CityNew York 10001 ,212-430-8500,,,ThreeStar,new york,"New York,   New York",Eastern
Sixty SoHo,60 Thompson Street New YorkNew York 10012 ,212-431-0400,,,FiveStar,new york,"New York,   New York",Eastern
The Broome,431 Broome Street New YorkNew York 10013 ,212-431-2929,,,FourStar,new york,"New York,   New York",Eastern
The Ludlow Hotel,180 Ludlow Street between Houston and Stanton Street between Houston and StantonNew York CityNew York 10002 ,212-432-1818,,,FourStar,new york,"New York,   New York",Eastern
ABA Furnished Apartments Monaco,475 Washington Blvd  ,212-445-0494,,,ThreeStar,new jersey,"Jersey City,   New Jersey",Eastern
Courtyard New York Manhattan fifth Avenue,3 East 40th Street New YorkNY 10016 ,212-447-1500,,,ThreeStar,new york,"New York,   New York",Eastern
Park South Hotel,124 E 28Th New York CityNew York 10016 ,212-448-0888,,,FourStar,new york,"New York,   New York",Eastern
Marriott Vacation Club Pulse New York City,33 West 37th Street New YorkNew York 10018 ,212-448-1024,,,FourStar,new york,"New York,   New York",Eastern
Hotel AKA NoMad,131 Madison Avenue New York CityNew York 10016 ,212-448-7000,,,FourStar,new york,"New York,   New York",Eastern
Amsterdam Court Hotel,226 W 50Th St New YorkNew York 10019 ,212-459-1000,,,ThreeStar,new york,"New York,   New York",Eastern
Sixty Les,190 Allen Street New YorkNew York 10002 ,212-460-5300,,,FourStar,new york,"New York,   New York",Eastern
citizenM New York Times Square,218 West 50Th Street New York CityNew York 10019 ,212-461-3638,,,FourStar,new york,"New York,   New York",Eastern
MERRION ROW HOTEL AND PUBLIC HOUSE,"119 West 45th Street, New York, NY 10036 United States ",212-461-4920,,,FourStar,new york,"New York,   New York",Eastern
ModernHaus SoHo,27 Grand Street New York 10013 ,212-465-2000,,,FourStar,new york,"New York,   New York",Eastern
Upper East Side Apartments,1593 Second Avenue New YorkNew York 10028 ,212-470-2724,,,ThreeStar,new york,"New York,   New York",Eastern
Holiday Inn New York City Times Square,585 8th Avenue New YorkNew York 10018 ,212-473-6200,,,ThreeStar,new york,"New York,   New York",Eastern
Freehand New York,23 Lexington Avenue New York CityNew York 10010 ,212-475-1920,,,FourStar,new york,"New York,   New York",Eastern
Holiday Inn Lower East Side,150 Delancey Street New YorkNew York 10002 ,212-475-2500,,,FourStar,new york,"New York,   New York",Eastern
Hotel on Rivington,107 Rivington Street New YorkNew York 10002 ,212-475-2600,,,FourStar,new york,"New York,   New York",Eastern
Hotel 17,E. 17Th Street 225 10003 New York New YorkNew York 10003 ,212-475-2845,,,TwoStar,new york,"New York,   New York",Eastern
Gramercy Park Hotel,2 Lexington Avenue New YorkNew York 10010 ,212-475-4320,,,FiveStar,new york,"New York,   New York",Eastern
The Standard East Village,25 Cooper Square New York CityNew York 10003 ,212-475-5700,,,FourStar,new york,"New York,   New York",Eastern
Hampton Inn Manhattan Downtown Financial District,32 Pearl Street New York CityNew York 10004 ,212-480-3500,,,TwoStar,new york,"New York,   New York",Eastern
Doubletree by Hilton New York Downtown,8 Stone Street New YorkNew York 10004 ,212-480-9100,,,FourStar,new york,"New York,   New York",Eastern
Envoy Club,377 East 33rd Street New YorkNew York 10016 ,212-481-4600,,,ThreeStar,new york,"New York,   New York",Eastern
Muse Hotel NYC,130 West 46th Street New YorkNew York 10036 ,212-485-2400,,,FourStar,new york,"New York,   New York",Eastern
Da Vinci Hotel,244 West 56th Street New York City ,212-489-4100,,,ThreeStar,new york,"New York,   New York",Eastern
The Gotham Hotel,16 East 46Th Street between Fifth and Madison AvenuesNew York 10017 ,212-490-8500,,,FourStar,new york,"New York,   New York",Eastern
The Westin New York Grand Central,212 East 42nd Street New YorkNew York 10017 ,212-490-8900,,,FourStar,new york,"New York,   New York",Eastern
Staypineapple an Artful Hotel New York,337 W. 36Th Street New York 10018 ,212-500-7123,,,ThreeStar,new york,"New York,   New York",Eastern
The Bowery Hotel,335 Bowery New YorkNY 10003 ,212-505-9100,,,FourStar,new york,"New York,   New York",Eastern
Hotel 50 Bowery NYC,50 Bowery East Village New YorkNew York 10013 ,212-508-8000,,,FourStar,new york,"New York,   New York",Eastern
Hyatt House New York chelsea,815 Avenue of the Americas New YorkNew York 10001 ,212-513-0001,,,ThreeStar,new york,"New York,   New York",Eastern
Aloft Manhattan Downtown Financial District,49-53 Ann Street 10038 New York ,212-513-0003,,,ThreeStar,new york,"New York,   New York",Eastern
Moxy NYC Chelsea,105 West 28th Street New YorkNew York 10001 ,212-514-6699,,,FourStar,new york,"New York,   New York",Eastern
The Roxy Hotel Tribeca,2 Avenue of the Americas New YorkNew York 10013 ,212-519-6600,,,FourStar,new york,"New York,   New York",Eastern
SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,"111 EAST 24TH STREET, New York, NY, 10010 ",212-529-4240,,,ThreeStar,new york,"New York,   New York",Eastern
The James New York NoMad,22 East 29th Street At Madison AvenueNew YorkNew York 10016 ,212-532-4100,,,FourStar,new york,"New York,   New York",Eastern
Clarion Park Avenue,429 Park Avenue South New York CityNew York 10016 ,212-532-4860,,,TwoStar,new york,"New York,   New York",Eastern
The MAve Hotel NYC,62 Madison Avenue 62 10016 New York (@ 27th Street)10016 New York City - Manhattan ,212-532-7373,,,ThreeStar,new york,"New York,   New York",Eastern
Midtown East DR08,53Rd St Between 2Nd And 3Rd Ave New YorkNew York 10022 ,212-533-3990,,,ThreeStar,new york,"New York,   New York",Eastern
The Inn at Irving Place,56 Irving Place New YorkNY 10003 ,212-533-4600,,,FourStar,new york,"New York,   New York",Eastern
DoubleTree By Hilton New York Times Square South,"525 8th Avenue New York, New York 10018, USA  ",212-542-8990,,,ThreeStar,new york,"New York,   New York",Eastern
Edge Hotel,514 W. 168Th St. Washington HeightsManhattanNew York City ,212-543-0005,,,ThreeStar,new york,"New York,   New York",Eastern
The Hotel @ New York City,161 Lexington Avenue New YorkNew York 10016 ,212-545-1800,,,ThreeStar,new york,"New York,   New York",Eastern
The Evelyn,7 East 27th Street 10016 New York ,212-545-8000,,,FourStar,new york,"New York,   New York",Eastern
Courtyard by Marriott New York Manhattan/Midtown West,461 WEST 34TH STREET  ,212-553-3000,,,ThreeStar,new york,"New York,   New York",Eastern
Hudson New York Central Park,358 W 58th St New YorkNew York 10019 ,212-554-6000,,,FourStar,new york,"New York,   New York",Eastern
Fairfield Inn & Suites New York Midtown Manhattan Penn Station,325 W 33Rd St New YorkNew York 10001 ,212-563-0900,,,FourStar,new york,"New York,   New York",Eastern
Stanford Hotel,43 West 32Nd Street New YorkNew York 10001 ,212-563-1500,,,ThreeStar,new york,"New York,   New York",Eastern
Stewart Hotel,371 7Th Ave New York CityNew York 10001-3984 ,212-563-1800,,,FourStar,new york,"New York,   New York",Eastern
DoubleTree by Hilton Hotel New York City Chelsea,128 West 29th Street New YorkNew York 10001 ,212-564-0994,,,FourStar,new york,"New York,   New York",Eastern
Hilton Garden Inn New York Manhattan Chelsea,121 West 28Th Street 121 10001 New York New YorkNew York 10001-6102 ,212-564-2181,,,ThreeStar,new york,"New York,   New York",Eastern
Hampton Inn Manhattan 35th St Empire State Bldg,59 W. 35Th Street New York CityNew York 10001 ,212-564-3688,,,ThreeStar,new york,"New York,   New York",Eastern
Kimpton Hotel Eventi,851 Avenue of the Americas New YorkNY 10001 ,212-564-4567,,,FourStar,new york,"New York,   New York",Eastern
The Frederick Hotel,West Broadway 95 New YorkNew York 10007 ,212-566-1900,,,FourStar,new york,"New York,   New York",Eastern
The Artezen Hotel,John Street 24 10038 New York ManhattanNew YorkNew York 10038 ,212-566-5511,,,FourStar,new york,"New York,   New York",Eastern
Hampton Inn Seaport,320 Pearl Street New YorkNew York 10038 ,212-571-4400,,,TwoStar,new york,"New York,   New York",Eastern
Club Quarters Hotel World Trade Center,Washington Street 140 10006 New York (Between Albany and Cedar Streets)New YorkNew York 10006 ,212-577-1133,,,FourStar,new york,"New York,   New York",Eastern
World Center Hotel,144 Washington St New York 10006 ,212-577-2933,,,FourStar,new york,"New York,   New York",Eastern
Inn New York City,266 West 71 Street New YorkNY 10023 ,212-580-1900,,,TwoStar,new york,"New York,   New York",Eastern
